id,data,valor,taxa,total,total_calc,taxa_valida,motivo
44,2026-03-16,139.77,0.05,146.76,146.76,True,
45,2026-03-17,63.33,0.0,63.33,63.33,True,
46,2026-03-18,55.75,0.15,64.11,64.11,True,
47,2026-03-19,230.65,0.0,230.65,230.65,True,
48,2026-03-20,379.81,0.05,398.8,398.8,True,
49,2026-03-21,221.55,0.05,232.63,232.63,True,
50,2026-03-22,158.03,0.1,173.83,173.83,True,
51,2026-03-23,352.96,0.1,388.26,388.26,True,
52,2026-03-24,218.98,0.1,240.88,240.88,True,
53,2026-03-25,208.11,0.05,218.52,218.52,True,
54,2026-03-26,220.21,0.1,242.23,242.23,True,
55,2026-03-27,189.41,0.1,213.35,208.35,True,total_diverge; 
56,2026-03-28,175.24,0.1,192.76,192.76,True,
57,2026-03-29,85.2,0.1,93.72,93.72,True,
58,2026-03-30,240.13,0.0,240.13,240.13,True,
59,2026-03-31,192.42,0.05,202.04,202.04,True,
60,2026-04-01,295.45,0.05,310.22,310.22,True,
61,2026-04-02,170.49,0.05,179.01,179.01,True,
62,2026-04-03,47.49,0.1,52.24,52.24,True,
63,2026-04-04,192.03,0.05,201.63,201.63,True,
64,2026-04-05,335.96,,369.56,335.96,False,taxa_faltando; total_diverge; 
65,2026-04-06,169.33,0.05,177.8,177.8,True,
66,2026-04-07,128.81,0.1,141.69,141.69,True,
67,2026-04-08,104.51,0.0,104.51,104.51,True,
68,2026-04-09,116.0,0.05,121.8,121.8,True,
69,2026-04-10,175.98,0.0,175.98,175.98,True,
70,2026-04-11,105.6,0.05,110.88,110.88,True,
71,2026-04-12,319.81,0.15,367.78,367.78,True,
72,2026-04-13,177.39,0.05,186.26,186.26,True,
73,2026-04-14,208.69,,229.56,208.69,False,taxa_faltando; total_diverge; 
74,2026-04-15,315.06,0.05,330.81,330.81,True,
75,2026-04-16,320.27,0.0,320.27,320.27,True,
76,2026-04-17,182.98,0.1,201.28,201.28,True,
77,2026-04-18,226.56,0.0,226.56,226.56,True,
78,2026-04-19,258.8,0.1,284.68,284.68,True,
79,2026-04-20,184.57,0.0,184.57,184.57,True,
80,2026-04-21,57.76,0.1,63.54,63.54,True,
81,2026-04-22,252.38,0.0,252.38,252.38,True,
82,2026-04-23,271.55,0.05,285.13,285.13,True,
83,2026-04-24,233.24,0.15,268.23,268.23,True,
84,2026-04-25,126.12,0.05,132.43,132.43,True,
85,2026-04-26,184.32,0.1,202.75,202.75,True,
86,2026-04-27,152.74,0.1,168.01,168.01,True,
87,2026-04-28,176.02,0.0,176.02,176.02,True,
88,2026-04-29,303.75,0.1,334.12,334.12,True,
89,2026-04-30,322.37,0.15,370.73,370.73,True,
90,2026-05-01,253.55,0.0,253.55,253.55,True,
91,2026-05-02,243.9,0.05,256.1,256.1,True,
92,2026-05-03,254.13,0.05,266.84,266.84,True,
93,2026-05-04,199.02,0.1,218.92,218.92,True,
94,2026-05-05,193.95,0.0,193.95,193.95,True,
95,2026-05-06,146.11,0.05,153.42,153.42,True,
96,2026-05-07,195.53,0.1,215.08,215.08,True,
97,2026-05-08,380.8,0.1,418.88,418.88,True,
98,2026-05-09,269.52,0.0,269.52,269.52,True,
99,2026-05-10,172.63,,189.89,172.63,False,taxa_faltando; total_diverge; 
100,2026-05-11,162.25,0.05,170.36,170.36,True,
101,2026-05-12,130.84,,143.92,130.84,False,taxa_faltando; total_diverge; 
102,2026-05-13,229.95,0.05,241.45,241.45,True,
103,2026-05-14,231.32,0.0,231.32,231.32,True,
104,2026-05-15,84.55,0.1,98.01,93.01,True,total_diverge; 
105,2026-05-16,238.91,0.1,262.8,262.8,True,
106,2026-05-17,154.44,0.1,169.88,169.88,True,
107,2026-05-18,314.14,0.15,361.26,361.26,True,
108,2026-05-19,212.55,0.05,223.18,223.18,True,
109,2026-05-20,337.42,0.05,354.29,354.29,True,
110,2026-05-21,163.35,0.0,163.35,163.35,True,
111,2026-05-22,176.96,0.05,185.81,185.81,True,
112,2026-05-23,223.98,0.05,235.18,235.18,True,
113,2026-05-24,284.48,0.05,298.7,298.7,True,
114,2026-05-25,245.27,0.05,257.53,257.53,True,
115,2026-05-26,101.32,0.05,106.39,106.39,True,
116,2026-05-27,214.63,0.0,214.63,214.63,True,
117,2026-05-28,201.78,0.05,211.87,211.87,True,
118,2026-05-29,165.67,0.05,173.95,173.95,True,
119,2026-05-30,148.15,0.05,155.56,155.56,True,
120,2026-05-31,339.81,0.15,390.78,390.78,True,
121,2026-06-01,168.77,0.0,168.77,168.77,True,
122,2026-06-02,132.33,0.1,145.56,145.56,True,
123,2026-06-03,250.97,0.1,276.07,276.07,True,
124,2026-06-04,210.45,0.05,220.97,220.97,True,
125,2026-06-05,193.93,0.05,203.63,203.63,True,
126,2026-06-06,262.5,0.15,301.88,301.88,True,
127,2026-06-07,239.09,0.05,251.04,251.04,True,
128,2026-06-08,228.98,0.1,251.88,251.88,True,
129,2026-06-09,277.14,0.1,304.85,304.85,True,
130,2026-06-10,222.69,0.05,233.82,233.82,True,
131,2026-06-11,150.65,0.15,173.25,173.25,True,
132,2026-06-12,171.02,0.1,188.12,188.12,True,
133,2026-06-13,158.32,0.05,166.24,166.24,True,
134,2026-06-14,216.78,0.1,238.46,238.46,True,
135,2026-06-15,113.76,0.05,119.45,119.45,True,
136,2026-06-16,53.41,,58.75,53.41,False,taxa_faltando; total_diverge; 
137,2026-06-17,207.05,0.05,217.4,217.4,True,
138,2026-06-18,93.08,0.15,107.04,107.04,True,
139,2026-06-19,43.84,0.05,46.03,46.03,True,
140,2026-06-20,229.87,0.05,241.36,241.36,True,
141,2026-06-21,143.12,0.05,162.28,150.28,True,total_diverge; 
142,2026-06-22,239.69,0.1,263.66,263.66,True,
143,2026-06-23,157.53,0.1,173.28,173.28,True,
144,2026-06-24,110.24,0.05,115.75,115.75,True,
145,2026-06-25,100.52,0.05,105.55,105.55,True,
146,2026-06-26,158.81,0.05,166.75,166.75,True,
147,2026-06-27,178.13,0.15,204.85,204.85,True,
148,2026-06-28,134.12,0.0,134.12,134.12,True,
149,2026-06-29,177.51,0.1,195.26,195.26,True,
150,2026-06-30,77.11,0.1,84.82,84.82,True,
151,2026-07-01,201.16,0.05,211.22,211.22,True,
152,2026-07-02,56.51,0.05,59.34,59.34,True,
153,2026-07-03,184.49,0.05,193.71,193.71,True,
154,2026-07-04,255.78,0.1,281.36,281.36,True,
155,2026-07-05,287.36,0.15,330.46,330.46,True,
156,2026-07-06,337.15,0.15,387.72,387.72,True,
157,2026-07-07,75.5,0.05,79.28,79.28,True,
158,2026-07-08,260.7,0.0,260.7,260.7,True,
159,2026-07-09,296.5,0.05,311.32,311.32,True,
160,2026-07-10,278.44,0.05,292.36,292.36,True,
161,2026-07-11,125.65,0.1,138.22,138.22,True,
162,2026-07-12,232.94,0.0,232.94,232.94,True,
163,2026-07-13,348.8,0.1,383.68,383.68,True,
164,2026-07-14,80.22,0.15,92.25,92.25,True,
165,2026-07-15,238.11,0.15,285.83,273.83,True,total_diverge; 
166,2026-07-16,288.98,0.15,344.33,332.33,True,total_diverge; 
167,2026-07-17,144.27,0.15,165.91,165.91,True,
168,2026-07-18,246.64,0.15,283.64,283.64,True,
169,2026-07-19,114.33,0.0,114.33,114.33,True,
170,2026-07-20,135.02,0.15,155.27,155.27,True,
171,2026-07-21,134.63,0.05,141.36,141.36,True,
172,2026-07-22,215.38,0.05,226.15,226.15,True,
173,2026-07-23,192.72,0.05,202.36,202.36,True,
174,2026-07-24,276.33,0.15,317.78,317.78,True,
175,2026-07-25,124.78,0.1,130.26,137.26,True,total_diverge; 
176,2026-07-26,189.5,0.05,198.98,198.98,True,
177,2026-07-27,276.89,0.05,290.73,290.73,True,
178,2026-07-28,244.86,0.15,281.59,281.59,True,
179,2026-07-29,94.03,0.1,103.43,103.43,True,
180,2026-07-30,253.22,0.0,253.22,253.22,True,
181,2026-07-31,161.73,0.05,169.82,169.82,True,
182,2026-08-01,230.83,0.05,242.37,242.37,True,
183,2026-08-02,224.05,0.05,235.25,235.25,True,
184,2026-08-03,297.55,0.05,312.43,312.43,True,
185,2026-08-04,209.32,,219.79,209.32,False,taxa_faltando; total_diverge; 
186,2026-08-05,51.7,0.05,54.28,54.28,True,
187,2026-08-06,90.41,0.15,103.97,103.97,True,
188,2026-08-07,258.49,0.1,284.34,284.34,True,
189,2026-08-08,179.33,0.0,179.33,179.33,True,
190,2026-08-09,291.04,0.05,305.59,305.59,True,
191,2026-08-10,221.88,0.05,232.97,232.97,True,
192,2026-08-11,140.07,0.1,154.08,154.08,True,
193,2026-08-12,286.59,0.05,300.92,300.92,True,
194,2026-08-13,135.41,0.05,142.18,142.18,True,
195,2026-08-14,35.79,0.05,37.58,37.58,True,
196,2026-08-15,365.1,0.05,383.36,383.36,True,
197,2026-08-16,47.14,0.1,51.85,51.85,True,
198,2026-08-17,250.91,0.1,276.0,276.0,True,
199,2026-08-18,275.11,0.05,288.87,288.87,True,
200,2026-08-19,211.77,0.1,232.95,232.95,True,
